day,subscribersGained,subscribersLost,views
2022-08-10,2,0,183
2022-08-09,1,0,201
2022-08-08,2,1,171
2022-08-07,0,0,179
2022-08-06,2,1,166
2022-08-05,3,0,164
2022-08-04,2,0,163
2022-08-03,1,0,187
2022-08-02,2,0,204
2022-08-01,3,0,175
2022-07-31,1,0,156
2022-07-30,3,0,137
2022-07-29,1,0,151
2022-07-28,1,0,183
2022-07-27,4,1,218
2022-07-26,3,0,217
2022-07-25,4,1,249
2022-07-24,0,0,189
2022-07-23,3,1,148
2022-07-22,3,0,154
2022-07-21,0,0,169
2022-07-20,4,0,228
2022-07-19,2,0,208
2022-07-18,1,1,203
2022-07-17,4,0,233
2022-07-16,3,0,168
2022-07-15,3,0,176
2022-07-14,1,1,176
2022-07-13,1,0,163
2022-07-12,1,1,163
2022-07-11,3,0,119
2022-07-10,1,0,106
2022-07-09,1,1,81
2022-07-08,2,0,128
2022-07-07,4,1,219
2022-07-06,3,0,196
2022-07-05,0,0,167
2022-07-04,4,0,275
2022-07-03,1,0,171
2022-07-02,3,0,191
2022-07-01,4,0,142
2022-06-30,6,0,207
2022-06-29,3,0,206
2022-06-28,1,0,194
2022-06-27,2,0,234
2022-06-26,2,0,213
2022-06-25,2,0,211
2022-06-24,2,0,202
2022-06-23,3,0,237
2022-06-22,4,0,227
2022-06-21,1,0,188
2022-06-20,0,0,158
2022-06-19,0,0,177
2022-06-18,4,0,139
2022-06-17,2,0,167
2022-06-16,1,0,200
2022-06-15,3,0,233
2022-06-14,4,2,248
2022-06-13,0,0,194
2022-06-12,1,0,162
2022-06-11,0,0,157
2022-06-10,1,0,148
2022-06-09,1,0,214
2022-06-08,0,1,174
2022-06-07,1,0,199
2022-06-06,4,0,192
2022-06-05,1,0,145
2022-06-04,1,0,138
2022-06-03,3,0,167
2022-06-02,1,0,189
2022-06-01,1,0,237
2022-05-31,3,0,235
2022-05-30,6,1,320
2022-05-29,3,0,179
2022-05-28,3,0,153
2022-05-27,2,1,134
